yttools.co RETRY EVAL: 63 videos × up to 3 retries each (5s, 10s, 20s backoff)

  [ 1/63] dQw4w9WgXcQ  OK         2116c   0.4s (1 try)  [attempt=1+n_segments=61]
  [ 2/63] jNQXAC9IVRw  ERROR         0c  12.5s (3 try)  [all-retries-failed+attempt=3]
  [ 3/63] fJ9rUzIMcZQ  ERROR         0c  11.5s (3 try)  [all-retries-failed+attempt=3]
  [ 4/63] 9bZkp7q19f0  ERROR         0c  12.1s (3 try)  [all-retries-failed+attempt=3]
  [ 5/63] kJQP7kiw5Fk  ERROR         0c  11.8s (3 try)  [all-retries-failed+attempt=3]
  [ 6/63] JGwWNGJdvx8  ERROR         0c  11.6s (3 try)  [all-retries-failed+attempt=3]
  [ 7/63] RgKAFK5djSk  ERROR         0c  12.1s (3 try)  [all-retries-failed+attempt=3]
  [ 8/63] OPf0YbXqDm0  ERROR         0c  11.4s (3 try)  [all-retries-failed+attempt=3]
  [ 9/63] CevxZvSJLk8  OK         1644c  10.9s (3 try)  [attempt=3+n_segments=31]
  [10/63] YQHsXMglC9A  ERROR         0c  11.6s (3 try)  [all-retries-failed+attempt=3]
  [11/63] hT_nvWreIhg  ERROR         0c  12.1s (3 try)  [all-retries-failed+attempt=3]
  [12/63] C_duEE4X0EI  ERROR         0c  12.4s (3 try)  [all-retries-failed+attempt=3]
  [13/63] ymNFyx6Ip1Q  ERROR         0c  12.1s (3 try)  [all-retries-failed+attempt=3]
  [14/63] uelHwf8o7_U  ERROR         0c  11.4s (3 try)  [all-retries-failed+attempt=3]
  [15/63] fKopy74FusU  ERROR         0c  11.7s (3 try)  [all-retries-failed+attempt=3]
  [16/63] hLQl3WQQoQ0  ERROR         0c  11.4s (3 try)  [all-retries-failed+attempt=3]
  [17/63] i62sjv-C1zU  ERROR         0c  12.0s (3 try)  [all-retries-failed+attempt=3]
  [18/63] MYSVMgM6CKk  ERROR         0c  11.3s (3 try)  [all-retries-failed+attempt=3]
  [19/63] F-aB4ohNyaY  ERROR         0c  12.5s (3 try)  [all-retries-failed+attempt=3]
  [20/63] 8jPQjjsBbIc  ERROR         0c  12.2s (3 try)  [all-retries-failed+attempt=3]
  [21/63] UF8uR6Z6KLc  ERROR         0c  11.9s (3 try)  [all-retries-failed+attempt=3]
  [22/63] ltg6B3wvg0k  ERROR         0c  12.2s (3 try)  [all-retries-failed+attempt=3]
  [23/63] cwKwtox0HS8  ERROR         0c  12.4s (3 try)  [all-retries-failed+attempt=3]
  [24/63] Unzc731iCmY  ERROR         0c  11.9s (3 try)  [all-retries-failed+attempt=3]
